cycle,nb preys (ref),nb predators (ref),nb preys (target),nb predators (target),parameter α,parameter α action,helped obj,expected variation,obj preys nb criticality,obj predators nb criticality
103,93.23385807665801,37.06998448238391,96.6553310411785,38.222825044061764,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
104,94.46686134132675,36.655986337009864,97.82011756581082,37.82156768030566,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
105,95.75514682765744,36.255751418609,99.03802330557568,37.43344064057236,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
106,97.09918608624363,35.86932697933724,100.30935627804892,37.058519991220415,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
107,98.49946394357949,35.496760975545016,101.63443277448813,36.69688100092502,0.05,0.0,null,NaN,3.487685182617838,1.1394365757017368
108,99.95647438811741,35.13810296825078,103.013573306238,36.34859902464651,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
109,101.4707162213008,34.79340500164481,104.44709833428492,36.013750363215586,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
110,103.04268845129216,34.46272246223862,105.93532376394502,35.69241310058074,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
111,104.67288540628965,34.14611492113591,107.4785561861111,35.38466792063274,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
112,106.36179154353684,33.843646961752675,109.07708784598778,35.09059890537688,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
113,108.10987592937865,33.55538899515343,110.73119131982402,34.810294316063654,0.05,0.0,null,NaN,3.0570989181205874,1.2104960563957334
114,109.91758636502497,33.2814180649972,112.44111387982107,34.543847358712746,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
115,111.78534313206555,33.0218186438958,114.20707152717,34.29135693527029,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
116,113.71353233126051,32.776683422779115,116.0292426730773,34.05292838142295,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
117,115.70249878773141,32.54611409462866,117.90776144769141,33.828674191854496,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
118,117.75253849543645,32.33022213368432,119.84271061708048,33.6187147334614,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
119,119.86389057374993,32.129129570938694,121.83411408885428,33.42317894674944,0.05,0.0,null,NaN,2.5235275147961005,1.2624292937155488
120,122.03672870914232,31.942969766409743,123.88192898772265,33.24220503530091,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
121,124.27115205539792,31.771888178314793,125.98603728326059,33.0759411428314,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
122,126.56717556658371,31.616043128856315,128.1462369534726,32.92454601694167,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
123,128.92471973814008,31.475606565859028,130.36223266945035,32.7881896582068,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
124,131.34359973308702,31.350764818967843,132.63362598856963,32.66705395272606,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
125,133.82351387248804,31.241719348512017,134.95990504632854,32.56133328567845,0.05,0.0,null,NaN,1.8452002785803217,1.2992352688911701
126,136.36403147209145,31.14868748445874,137.34043374016548,32.47123513278044,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
127,138.9645800105578,31.071903152105026,139.77444040248645,32.39698062582156,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
128,141.62443161900254,31.01161758028197,142.2610059647597,32.3388050876475,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
129,144.3426888868424,30.968099986857432,144.799051619997,32.29695853106821,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
130,147.11826998524606,30.941638235210675,147.38732599729775,32.27170611517467,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
131,149.94989311708915,30.932539454100603,150.02439186959083,32.26332855145424,0.05,0.0,null,NaN,0.9764022680740254,1.3225476483217022
132,152.8360603111433,30.941130611949685,152.70861242416885,32.27212245088568,0.05,0.0,null,NaN,0.12744788697446552,1.3309918389359972
133,155.77504058871563,30.967759034999375,155.43813713543264,32.2984006018695,0.05,0.0,null,NaN,0.12744788697446552,1.3309918389359972
134,158.76485254304558,31.012792857053384,158.21088729035688,32.34249216740053,0.05,0.0,null,NaN,0.12744788697446552,1.3309918389359972
135,161.80324638575865,31.076621386596454,161.02454122975277,32.40474278831515,0.05,0.0,null,NaN,0.12744788697446552,1.3309918389359972
136,164.88768553069167,31.159655374951377,163.8765193825256,32.48551457774194,0.05,0.0,null,NaN,0.12744788697446552,1.3309918389359972
